timestamp,language,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged
2025-06-29 00:50:23,ruby,196,114,1270,1008,14,7,416,292,10,3
2025-06-29 00:50:23,go,835,406,11168,9410,53,34,982,627,28,6
2025-06-29 00:50:23,php,276,187,13219,11670,43,29,401,306,22,9
2025-06-29 00:50:23,c%23,2661,1472,13746,12199,17,13,234,143,6,0
2025-06-29 00:50:23,c%2B%2B,404,175,10304,8334,43,36,800,449,19,6
2025-06-29 00:50:23,rust,673,449,12310,10643,153,124,976,675,40,21
2025-06-29 00:50:23,f%23,21,5,45,37,1,0,0,0,0,0
2025-06-30 00:47:22,all,20710,12371,542644,468548,3059,2253,29361,18733,4223,1728
2025-06-30 00:47:22,javascript,2087,1474,91675,81649,239,173,2291,1404,402,155
2025-06-30 00:47:22,typescript,4571,2759,93305,79156,1247,928,11925,7570,1000,536
2025-06-30 00:47:22,python,3254,2055,151562,133600,571,392,5618,3647,1982,795
2025-06-30 00:47:22,java,569,301,13234,11090,31,21,444,271,56,5
2025-06-30 00:47:22,ruby,204,114,1302,1032,16,7,419,294,10,3
2025-06-30 00:47:22,go,912,428,11344,9552,55,36,982,628,28,6
2025-06-30 00:47:22,php,292,193,13409,11839,43,29,401,306,22,9
2025-06-30 00:47:22,c%23,2727,1505,14006,12435,17,13,235,143,6,0
2025-06-30 00:47:22,c%2B%2B,413,177,10551,8541,43,36,803,452,20,6
2025-06-30 00:47:22,rust,688,454,12750,11041,162,132,976,675,42,23
2025-06-30 00:47:22,f%23,21,5,45,37,1,0,0,0,0,0
2025-07-01 00:51:06,all,21648,12740,555326,479868,3504,2536,29407,18762,4120,1664
2025-07-01 00:51:06,javascript,2141,1515,93939,83687,296,215,2299,1413,397,151
2025-07-01 00:51:06,typescript,4809,2859,95527,81103,1413,1026,11965,7596,975,509
2025-07-01 00:51:06,python,3339,2088,154819,136644,625,427,5591,3624,1914,768
2025-07-01 00:51:06,java,635,316,13606,11412,33,22,444,271,56,5
2025-07-01 00:51:06,ruby,215,117,1318,1046,16,8,421,295,10,3
2025-07-01 00:51:06,go,1023,453,11725,9859,69,43,983,632,21,0
2025-07-01 00:51:06,php,317,200,13709,12115,47,32,401,306,22,9
2025-07-01 00:51:06,c%23,2799,1550,14396,12794,19,15,236,144,6,0
2025-07-01 00:51:06,c%2B%2B,463,185,10830,8766,55,47,803,452,20,6
2025-07-01 00:51:06,rust,705,461,13347,11599,183,143,979,675,42,24
2025-07-01 00:51:06,f%23,21,5,45,37,1,0,0,0,0,0
2025-07-02 00:43:27,all,22749,13272,566256,489370,4580,3321,29537,18852,4147,1678
2025-07-02 00:43:27,javascript,2269,1575,95732,85280,402,292,2305,1415,397,151
2025-07-02 00:43:27,typescript,5026,2978,97893,83079,1835,1333,12033,7648,985,515
2025-07-02 00:43:27,python,3504,2162,158067,139557,783,550,5611,3641,1917,769
2025-07-02 00:43:27,java,676,328,13892,11672,47,30,444,271,57,5
2025-07-02 00:43:27,ruby,220,120,1325,1052,18,8,430,304,10,3
2025-07-02 00:43:27,go,1092,488,11923,10023,111,74,986,633,21,0
2025-07-02 00:43:27,php,341,209,13873,12299,62,44,401,306,22,9
2025-07-02 00:43:27,c%23,2883,1596,14639,13018,32,23,237,146,6,0
2025-07-02 00:43:27,c%2B%2B,493,199,11017,8923,61,50,803,452,20,6
2025-07-02 00:43:27,rust,741,478,13454,11681,218,169,981,675,51,31
2025-07-02 00:43:27,f%23,22,5,45,37,1,0,0,0,0,0
2025-07-03 00:43:36,all,23917,13913,578149,499878,5505,4041,29695,18951,4148,1677
2025-07-03 00:43:36,javascript,2386,1653,98157,87527,530,412,2317,1422,397,151
2025-07-03 00:43:36,typescript,5266,3127,100553,85468,2154,1569,12132,7708,990,519
2025-07-03 00:43:36,python,3708,2244,161629,142789,928,657,5631,3655,1918,769
2025-07-03 00:43:36,java,720,341,14132,11894,65,46,448,275,57,5
2025-07-03 00:43:36,ruby,224,123,1340,1061,20,9,436,308,10,3
2025-07-03 00:43:36,go,1126,513,12147,10205,133,89,987,634,21,0
2025-07-03 00:43:36,php,333,199,14299,12675,69,50,406,309,22,9
2025-07-03 00:43:36,c%23,2982,1657,14999,13338,40,27,243,148,6,0
2025-07-03 00:43:36,c%2B%2B,556,239,11494,9316,67,53,804,452,20,6
2025-07-03 00:43:36,rust,764,489,13736,11908,238,190,981,675,42,24
2025-07-03 00:43:36,f%23,23,5,45,37,1,0,0,0,0,0
2025-07-04 00:43:22,all,24994,14463,588135,508803,6495,4754,29903,19088,4150,1676
2025-07-04 00:43:22,javascript,2521,1716,100194,89482,625,475,2333,1429,398,151
2025-07-04 00:43:22,typescript,5518,3250,102151,86919,2451,1788,12242,7782,988,518
2025-07-04 00:43:22,python,3844,2300,164713,145577,1158,829,5679,3690,1920,769
2025-07-04 00:43:22,java,744,349,14322,12055,86,63,449,276,57,5
2025-07-04 00:43:22,ruby,229,127,1361,1074,29,14,444,314,10,3
2025-07-04 00:43:22,go,1166,538,12470,10461,151,100,989,635,21,0
2025-07-04 00:43:22,php,347,203,14628,12974,73,54,406,309,22,9
2025-07-04 00:43:22,c%23,3073,1708,15089,13393,50,35,245,150,6,0
2025-07-04 00:43:22,c%2B%2B,593,256,11354,9208,83,59,807,453,20,6
2025-07-04 00:43:22,rust,780,497,13518,11659,262,208,983,675,42,24
2025-07-04 00:43:22,f%23,23,5,45,37,1,0,0,0,0,0
2025-07-05 00:41:22,all,26078,15031,601240,520225,7516,5497,30053,19216,4154,1681
2025-07-05 00:41:22,javascript,2606,1750,102303,91379,713,549,2338,1439,398,151
2025-07-05 00:41:22,typescript,5726,3349,103845,88335,2776,2019,12330,7858,993,523
2025-07-05 00:41:22,python,4058,2407,168948,149210,1322,954,5707,3713,1919,769
2025-07-05 00:41:22,java,748,371,14671,12373,100,72,449,276,57,5
2025-07-05 00:41:22,ruby,238,131,1377,1088,31,16,448,318,10,3
2025-07-05 00:41:22,go,1216,571,12815,10770,179,115,990,635,21,0
2025-07-05 00:41:22,php,370,213,15253,13532,81,57,406,309,22,9
2025-07-05 00:41:22,c%23,3151,1747,15420,13690,69,49,246,150,6,0
2025-07-05 00:41:22,c%2B%2B,617,269,11583,9409,94,68,810,456,20,6
2025-07-05 00:41:22,rust,797,506,13979,12070,292,229,984,676,43,24
2025-07-05 00:41:22,f%23,24,6,45,37,1,0,0,0,0,0
2025-07-06 00:49:34,all,26861,15489,610916,528713,8605,6368,30130,19283,4157,1686
2025-07-06 00:49:34,javascript,2699,1812,103802,92770,889,690,2342,1444,398,151
2025-07-06 00:49:34,typescript,5861,3418,105809,90008,3135,2311,12374,7894,996,526
2025-07-06 00:49:34,python,4195,2515,170988,151039,1486,1090,5722,3724,1919,769
2025-07-06 00:49:34,java,766,375,15014,12693,112,81,450,276,57,5
2025-07-06 00:49:34,ruby,245,136,1398,1101,34,17,451,320,10,3
2025-07-06 00:49:34,go,1231,579,13271,11160,221,145,987,632,21,0
2025-07-06 00:49:34,php,375,215,15529,13749,86,62,406,309,22,9
2025-07-06 00:49:34,c%23,3204,1780,15662,13916,80,59,248,151,6,0
2025-07-06 00:49:34,c%2B%2B,648,277,11754,9555,104,75,807,455,20,6
2025-07-06 00:49:34,rust,820,528,14549,12580,288,226,984,676,43,24
2025-07-06 00:49:34,f%23,24,6,45,37,1,0,0,0,0,0
2025-07-07 00:47:58,all,27619,15889,622550,539046,9567,7144,30203,19325,4176,1697
2025-07-07 00:47:58,javascript,2780,1863,106090,94828,1050,845,2347,1446,398,151
2025-07-07 00:47:58,typescript,5987,3487,107545,91608,3326,2442,12416,7925,998,528
2025-07-07 00:47:58,python,4344,2593,174018,153810,1599,1170,5735,3725,1932,777
2025-07-07 00:47:58,java,795,384,15223,12882,142,102,454,278,57,5
2025-07-07 00:47:58,ruby,246,137,1432,1131,39,21,453,322,10,3
2025-07-07 00:47:58,go,1266,600,14099,11898,248,165,988,633,21,0
2025-07-07 00:47:58,php,388,220,15852,14051,93,67,406,309,23,9
2025-07-07 00:47:58,c%23,3245,1807,15928,14169,113,84,248,151,6,0
2025-07-07 00:47:58,c%2B%2B,676,292,11962,9706,128,95,807,456,20,6
2025-07-07 00:47:58,rust,835,538,15086,13036,318,257,985,676,43,25
2025-07-07 00:47:58,f%23,24,6,45,37,1,0,0,0,0,0
2025-07-08 00:43:42,all,28777,16507,635441,550597,10545,7928,30354,19417,4215,1719
2025-07-08 00:43:42,javascript,2899,1932,108331,96859,1198,960,2361,1459,408,157
2025-07-08 00:43:42,typescript,6209,3614,109444,93267,3589,2666,12487,7973,1000,528
2025-07-08 00:43:42,python,4590,2751,178162,157666,1762,1295,5761,3737,1956,789
2025-07-08 00:43:42,java,844,406,15428,13076,179,135,450,273,57,5
2025-07-08 00:43:42,ruby,252,140,1448,1146,37,19,455,325,10,3
2025-07-08 00:43:42,go,1316,616,14584,12331,272,184,990,634,21,0
2025-07-08 00:43:42,php,393,214,16546,14698,116,85,406,309,23,10
2025-07-08 00:43:42,c%23,3307,1840,16230,14457,130,90,251,153,6,0
2025-07-08 00:43:42,c%2B%2B,696,307,12121,9829,141,101,807,456,20,6
2025-07-08 00:43:42,rust,863,547,15605,13501,332,273,988,676,43,25
2025-07-08 00:43:42,f%23,25,8,47,39,1,0,0,0,0,0
2025-07-09 00:44:45,all,30069,17108,646924,561246,11523,8691,30455,19484,4243,1728
2025-07-09 00:44:45,javascript,3051,2015,110179,98552,1351,1083,2368,1460,408,157
2025-07-09 00:44:45,typescript,6418,3704,111135,94738,3866,2879,12523,8000,1003,531
2025-07-09 00:44:45,python,4759,2849,181481,161029,1922,1422,5781,3750,1978,794
2025-07-09 00:44:45,java,895,425,15810,13429,207,159,453,273,58,6
2025-07-09 00:44:45,ruby,264,144,1500,1186,43,23,458,326,10,3
2025-07-09 00:44:45,go,1383,633,15016,12708,281,191,1001,641,21,0
2025-07-09 00:44:45,php,421,220,16521,14665,131,97,406,309,23,10
2025-07-09 00:44:45,c%23,3400,1880,16545,14731,154,108,250,154,6,0
2025-07-09 00:44:45,c%2B%2B,727,320,12328,10014,146,101,810,458,20,6
2025-07-09 00:44:45,rust,933,587,15971,13835,350,282,993,681,43,25
2025-07-09 00:44:45,f%23,25,8,48,40,1,0,0,0,0,0
2025-07-10 00:44:08,all,31334,17698,658686,572035,12630,9567,30580,19568,4282,1751
